name,slug
"Representative Cavanaugh, John J.",john-cavanaugh/C000261
"Representative Cazayoux, Donald J., Jr.",donald-cazayoux/C001073
"Representative Cederberg, Elford A.",elford-cederberg/C000263
"Representative Chabot, Steve",steve-chabot/C000266
"Senator Chafee, John H.",john-chafee/C000269
"Senator Chafee, Lincoln",lincoln-chafee/C001040
"Representative Chaffetz, Jason",jason-chaffetz/C001076
"Representative Chamberlain, Charles E.",charles-chamberlain/C000275
"Senator Chambliss, Saxby",saxby-chambliss/C000286
"Representative Chandler, Ben",ben-chandler/C001058
"Representative Chandler, Rod D.",rod-chandler/C000293
"Representative Chapman, Jim",jim-chapman/C000312
"Representative Chappell, Bill, Jr.",william-chappell/C000321
"Representative Chappie, Eugene A.",eugene-chappie/C000322
"Representative Cheney, Dick",richard-cheney/C000344
"Representative Cheney, Liz",liz-cheney/C001109
"Representative Chenoweth-Hage, Helen",helen-chenoweth-hage/C000345
"Senator Chiesa, Jeff",jeffrey-chiesa/C001100
"Representative Childers, Travis",travis-childers/C001074
"Senator Chiles, Lawton",lawton-chiles/C000356
"Representative Chisholm, Shirley",shirley-chisholm/C000371
"Representative Chocola, Chris",chris-chocola/C001052
"Representative Christensen, Donna M.",donna-christensen/C000380
"Representative Christensen, Jon",jon-christensen/C000377
"Representative Chrysler, Dick",dick-chrysler/C000385
"Representative Chu, Judy",judy-chu/C001080
"Senator Church, Frank",frank-church/C000388
"Representative Cicilline, David N.",david-cicilline/C001084
"Representative Cisneros, Gilbert Ray, Jr.",gilbert-cisneros/C001123
"Representative Clancy, Donald D.",donald-clancy/C000409
"Senator Clark, Dick",richard-clark/C000448
"Representative Clark, Frank M.",frank-clark/C000431
"Representative Clark, Katherine M.",katherine-clark/C001101
"Representative Clarke, Hansen",hansen-clarke/C001085
"Representative Clarke, James McC.",james-clarke/C000462
"Representative Clarke, Yvette D.",yvette-clarke/C001067
"Representative Clausen, Don H.",don-clausen/C000475
"Representative Clawson, Curt",curt-clawson/C001102
"Representative Clawson, Del",del-clawson/C000476
"Representative Clay, William (Bill)",william-clay/C000488
"Representative Clay, Wm. Lacy",wm-clay/C001049
"Representative Clayton, Eva M.",eva-clayton/C000494
"Representative Cleaver, Emanuel",emanuel-cleaver/C001061
"Senator Cleland, Max",max-cleland/C001034
"Representative Clement, Bob",bob-clement/C000503
"Representative Cleveland, James C.",james-cleveland/C000512
"Representative Cline, Ben",ben-cline/C001118
"Representative Clinger, William F., Jr.",william-clinger/C000523
"Senator Clinton, Hillary Rodham",hillary-clinton/C001041
"Representative Cloud, Michael",michael-cloud/C001115
"Representative Clyburn, James E.",james-clyburn/C000537
"Senator Coats, Daniel",daniel-coats/C000542
"Representative Cobey, William W.",william-cobey/C000555
"Representative Coble, Howard",howard-coble/C000556
"Senator Coburn, Tom",tom-coburn/C000560
"Senator Cochran, Thad",thad-cochran/C000567
"Representative Coelho, Anthony Lee",anthony-coelho/C000581
"Representative Coffman, Mike",mike-coffman/C001077
"Representative Cohen, Steve",steve-cohen/C001068
"Senator Cohen, William S.",william-cohen/C000598
"Representative Cole, Tom",tom-cole/C001053
"Representative Coleman, E. Thomas",e-coleman/C000618
"Senator Coleman, Norm",norm-coleman/C001057
"Representative Coleman, Ronald D.",ronald-coleman/C000621
"Representative Collier, Harold R.",harold-collier/C000629
"Representative Collins, Barbara-Rose",barbara-rose-collins/C000633
"Representative Collins, Cardiss",cardiss-collins/C000634
"Representative Collins, Chris",chris-collins/C001092
"Representative Collins, Doug",doug-collins/C001093
"Representative Collins, James M.",james-collins/C000638
"Representative Collins, Mac",mac-collins/C000640
"Senator Collins, Susan M.",susan-collins/C001035
"Representative Colordao, Antonio",antonio-colorado/C000646
"Representative Combest, Larry",larry-combest/C000653
"Representative Comer, James",james-comer/C001108
"Representative Comstock, Barbara",barbara-comstock/C001105
"Representative Conable, Barber B., Jr.",barber-conable/C000666
"Representative Conaway, K. Michael",k-conaway/C001062
"Representative Condit, Gary A.",gary-condit/C000670
"Representative Conlan, John B.",john-conlan/C000682
"Representative Connolly, Gerald E.",gerald-connolly/C001078
"Senator Conrad, Kent",kent-conrad/C000705
"Representative Conte, Silvio O.",silvio-conte/C000709
"Representative Conyers, John, Jr.",john-conyers/C000714
"Senator Cook, Marlow W.",marlow-cook/C000721
"Representative Cook, Merrill",merrill-cook/C000722
"Representative Cook, Paul",paul-cook/C001094
"Representative Cooksey, John",john-cooksey/C000735
"Representative Cooley, Wes",wes-cooley/C000737
"Senator Coons, Christopher A.",christopher-coons/C001088
"Representative Cooper, Jim",james-cooper/C000754
"Representative Coppersmith, Sam",sam-coppersmith/C000767
"Representative Corcoran, Tom",tom-corcoran/C000773
"Senator Corker, Bob",bob-corker/C001071
"Representative Corman, James C.",james-corman/C000780
"Representative Cornell, Robert J.",robert-cornell/C000782
"Representative Cornwell, David L.",david-cornwell/C000787
"Senator Cornyn, John",john-cornyn/C001056
"Representative Corrada, Baltasar",baltasar-corrada/C000788
"Representative Correa, J. Luis",j-correa/C001110
"Senator Cortez Masto, Catherine ",catherine-cortez-masto/C001113
"Senator Corzine, Jon S.",jon-corzine/C001042
"Representative Costa, Jim",jim-costa/C001059
"Representative Costello, Jerry F.",jerry-costello/C000794
"Representative Costello, Ryan A.",ryan-costello/C001106
"Representative Cotter, William R.",william-cotter/C000799
"Senator Cotton, Norris",norris-cotton/C000802
"Senator Cotton, Tom",tom-cotton/C001095
"Representative Coughlin, Lawrence",r-coughlin/C000807
"Representative Courter, Jim",james-courter/C000809
"Representative Courtney, Joe",joe-courtney/C001069
