name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Benitez, Jamie",jamie-benitez/B000362,Commissioner Jamie Benitez,1908,Democratic,not current,168
"Representative Benjamin, Adam, Jr.",adam-benjamin/B000363,Adam Benjamin Jr.,1935,Democratic,not current,599
"Senator Bennet, Michael F.",michael-bennet/B001267,Michael F. Bennet,1964,Democratic,current,"2,485"
"Representative Bennett, Charles E.",charles-bennett/B000371,Charles E. Bennett,1910,Democratic,not current,"2,756"
"Senator Bennett, Robert F.",robert-bennett/B000382,Robert F. Bennett,1933,Republican,not current,"1,669"
"Senator Bennett, Wallace F.",wallace-bennett/B000384,Wallace F. Bennett,1898,Republican,not current,162
"Representative Bentivolio, Kerry L.",kerry-bentivolio/B001280,Kerry L. Bentivolio,1951,Republican,not current,328
"Representative Bentley, Helen Delich",helen-bentley/B000392,Helen Delich Bentley,1923,Republican,not current,"2,972"
"Representative Bentsen, Ken",ken-bentsen/B000400,Ken Bentsen,1959,Democratic,not current,982
"Senator Bentsen, Lloyd M.",lloyd-bentsen/B000401,Lloyd M. Bentsen,1921,Democratic,not current,"3,135"
"Representative Bera, Ami",ami-bera/B001287,Ami Bera,1965,Democratic,current,"1,105"
"Representative Bereuter, Doug",douglas-bereuter/B000403,Doug Bereuter,1939,Republican,not current,"4,001"
"Representative Berg, Rick",rick-berg/B001272,Rick Berg,1959,Republican,not current,165
"Representative Bergland, Bob",robert-bergland/B000408,Bob Bergland,1928,History,not current,359
"Representative Bergman, Jack",jack-bergman/B001301,Jack Bergman,1947,Republican,current,375
"Representative Berkley, Shelley",shelley-berkley/B001231,Shelley Berkley,1951,Democratic,not current,"3,423"
"Representative Berman, Howard L.",howard-berman/B000410,Howard L. Berman,1941,Democratic,not current,"7,223"
"Representative Berry, Marion",marion-berry/B000420,Marion Berry,1942,Democratic,not current,"1,534"
"Representative Bethune, Ed",edwin-bethune/B000422,Ed Bethune,1935,Republican,not current,419
"Representative Bevill, Tom",tom-bevill/B000431,Tom Bevill,1921,Democratic,not current,"3,559"
"Representative Beyer, Donald S., Jr.",donald-beyer/B001292,"Donald S. Beyer, Jr.",1950,Democratic,current,"1,504"
"Representative Biaggi, Mario",mario-biaggi/B000432,Mario Biaggi,1917,Democratic,not current,"3,318"
"Senator Bible, Alan",alan-bible/B000436,Alan Bible,1909,Democratic,not current,242
"Senator Biden, Joseph R., Jr.",joseph-biden/B000444,Joseph R. Biden Jr.,1942,Democratic,not current,"4,445"
"Representative Biester, Edward G., Jr.",edward-biester/B000451,Edward G. Biester Jr.,1931,Republican,not current,299
"Representative Biggert, Judy",judy-biggert/B001232,Judy Biggert,1937,Republican,not current,"1,708"
"Representative Biggs, Andy",andy-biggs/B001302,Andy Biggs,1958,Republican,current,609
"Representative Bilbray, Brian P.",brian-bilbray/B000461,Brian P. Bilbray,1951,Republican,not current,"1,854"
"Representative Bilbray, James H.",james-bilbray/B000462,James H. Bilbray,1938,Democratic,not current,"1,658"
"Representative Bilirakis, Gus M.",gus-bilirakis/B001257,Gus M. Bilirakis,1963,Republican,current,"2,131"
"Representative Bilirakis, Michael",michael-bilirakis/B000463,Michael Bilirakis,1930,Republican,not current,"3,515"
"Senator Bingaman, Jeff",jesse-bingaman/B000468,Jeff Bingaman,1943,Democratic,not current,"6,869"
"Representative Bingham, Jonathan B.",jonathan-bingham/B000472,Jonathan B. Bingham,1914,Democratic,not current,"1,962"
"Representative Bishop, Mike",mike-bishop/B001293,Mike Bishop,1967,Republican,not current,636
"Representative Bishop, Rob",rob-bishop/B001250,Rob Bishop,1951,Republican,current,"2,208"
"Representative Bishop, Sanford D., Jr.",sanford-bishop/B000490,"Sanford D. Bishop, Jr.",1947,Democratic,current,"5,168"
"Representative Bishop, Timothy H.",timothy-bishop/B001242,Timothy H. Bishop,1950,Democratic,not current,"2,507"
"Representative Black, Diane",diane-black/B001273,Diane Black,1951,Republican,not current,"1,067"
"Representative Blackburn, Ben",ben-blackburn/B000506,Ben Blackburn,1927,Republican,not current,168
"Senator Blackburn, Marsha",marsha-blackburn/B001243,Marsha Blackburn,1952,Republican,current,"3,478"
"Representative Blackwell, Lucien E.",lucien-blackwell/B000517,Lucien E. Blackwell,1931,Democratic,not current,588
"Representative Blagojevich, Rod R.",rod-blagojevich/B000518,Rod R. Blagojevich,1956,Democratic,not current,"1,040"
"Representative Blanchard, James",james-blanchard/B000538,James Blanchard,1942,Democratic,not current,"1,059"
"Representative Blatnik, John Anton",john-blatnik/B000550,John Anton Blatnik,1911,Democratic,not current,151
"Representative Blaz, Ben G.",ben-blaz/B000551,Ben G. Blaz,1928,Republican,not current,"1,226"
"Representative Bliley, Tom",thomas-bliley/B000556,Tom Bliley,1932,Republican,not current,"3,098"
"Representative Blouin, Michael",michael-blouin/B000567,Michael Blouin,1945,Democratic,not current,467
"Representative Blum, Rod",rod-blum/B001294,Rod Blum,1955,Republican,not current,433
"Representative Blumenauer, Earl",earl-blumenauer/B000574,Earl Blumenauer,1948,Democratic,current,"6,902"
"Senator Blumenthal, Richard",richard-blumenthal/B001277,Richard Blumenthal,1946,Democratic,current,"4,244"
"Representative Blunt Rochester, Lisa",lisa-blunt-rochester/B001303,Lisa Blunt Rochester,1962,Democratic,current,999
"Senator Blunt, Roy",roy-blunt/B000575,Roy Blunt,1950,Republican,current,"3,617"
"Representative Blute, Peter I.",peter-blute/B000576,Peter I. Blute,1956,Republican,not current,670
"Representative Boccieri, John A.",john-boccieri/B001263,John A. Boccieri,1969,Democratic,not current,245
"Representative Boehlert, Sherwood",sherwood-boehlert/B000586,Sherwood Boehlert,1936,Republican,not current,"3,985"
"Representative Boehner, John A.",john-boehner/B000589,John A. Boehner,1949,Republican,not current,"1,871"
"Representative Boggs, Corinne C. (Lindy)",corinne-boggs/B000592,Corinne C. (Lindy) Boggs,1916,Democratic,not current,"1,365"
"Representative Boland, Edward P.",edward-boland/B000600,Edward P. Boland,1911,Democratic,not current,"1,726"
