name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Lamborn, Doug",doug-lamborn/L000564,Doug Lamborn,1954,Republican,current,"2,465"
"Representative Lampson, Nick",nick-lampson/L000043,Nick Lampson,1945,Democratic,not current,"1,600"
"Representative Lancaster, H. Martin",martin-lancaster/L000045,H. Martin Lancaster,1943,Democratic,not current,"2,450"
"Representative Lance, Leonard",leonard-lance/L000567,Leonard Lance,1952,Republican,not current,"1,483"
"Representative Landgrebe, Earl F.",earl-landgrebe/L000049,Earl F. Landgrebe,1916,Republican,not current,96
"Senator Landrieu, Mary L.",mary-landrieu/L000550,Mary L. Landrieu,1955,Democratic,not current,"4,561"
"Representative Landrum, Phil M.",phillip-landrum/L000054,Phil M. Landrum,1907,Democratic,not current,64
"Representative Landry, Jeffrey M.",jeffrey-landry/L000574,Jeffrey M. Landry,1970,Republican,not current,214
"Representative Langevin, James R.",james-langevin/L000559,James R. Langevin,1964,Democratic,current,"3,821"
"Senator Lankford, James",james-lankford/L000575,James Lankford,1968,Republican,current,"1,371"
"Representative Lantos, Tom",tom-lantos/L000090,Tom Lantos,1928,Democratic,not current,"6,850"
"Representative Largent, Steve",steve-largent/L000096,Steve Largent,1954,Republican,not current,744
"Representative LaRocco, Larry",larry-larocco/L000098,Larry LaRocco,1946,Democratic,not current,372
"Representative Larsen, Rick",rick-larsen/L000560,Rick Larsen,1965,Democratic,current,"2,881"
"Representative Larson, John B.",john-larson/L000557,John B. Larson,1948,Democratic,current,"3,471"
"Representative Latham, Tom",tom-latham/L000111,Tom Latham,1948,Republican,not current,"2,025"
"Representative LaTourette, Steven C.",steven-latourette/L000553,Steven C. LaTourette,1954,Republican,not current,"2,496"
"Representative Latta, Delbert L.",delbert-latta/L000116,Delbert L. Latta,1920,Republican,not current,800
"Representative Latta, Robert E.",robert-latta/L000566,Robert E. Latta,1956,Republican,current,"2,062"
"Representative Laughlin, Greg",greg-laughlin/L000119,Greg Laughlin,1942,History,not current,713
"Senator Lautenberg, Frank R.",frank-lautenberg/L000123,Frank R. Lautenberg,1924,Democratic,not current,"6,831"
"Representative Lawrence, Brenda L.",brenda-lawrence/L000581,Brenda L. Lawrence,1954,Democratic,current,"1,338"
"Representative Lawson, Al, Jr.",al-lawson/L000586,"Al Lawson, Jr.",1948,Democratic,current,824
"Senator Laxalt, Paul D.",paul-laxalt/L000148,Paul D. Laxalt,1922,Republican,not current,"1,276"
"Representative Lazio, Rick",rick-lazio/L000155,Rick Lazio,1958,Republican,not current,747
"Representative Leach, Claude (Buddy), Jr.",anthony-leach/L000167,Claude (Buddy) Leach Jr.,1934,Democratic,not current,273
"Representative Leach, James A.",jim-leach/L000169,James A. Leach,1942,Republican,not current,"3,894"
"Senator Leahy, Patrick J.",patrick-leahy/L000174,Patrick J. Leahy,1940,Democratic,current,"8,865"
"Representative Leath, Marvin",james-leath/L000180,Marvin Leath,1931,Democratic,not current,969
"Representative LeBoutillier, John",john-leboutillier/L000547,John LeBoutillier,1953,Republican,not current,407
"Representative Lederer, Raymond F.",raymond-lederer/L000187,Raymond F. Lederer,1938,Democratic,not current,562
"Representative Lee, Barbara",barbara-lee/L000551,Barbara Lee,1946,Democratic,current,"9,029"
"Representative Lee, Christopher J.",christopher-lee/L000568,Christopher J. Lee,1964,Republican,not current,366
"Representative Lee, Gary A.",gary-lee/L000192,Gary A. Lee,1933,Republican,not current,498
"Senator Lee, Mike",mike-lee/L000577,Mike Lee,1971,Republican,current,"1,752"
"Representative Lee, Susie",susie-lee/L000590,Susie Lee,1966,Democratic,current,405
"Representative LeFante, Joseph A.",joseph-lefante/L000561,Joseph A. LeFante,1928,Democratic,not current,226
"Representative Leggett, Robert L.",robert-leggett/L000221,Robert L. Leggett,1926,Democratic,not current,772
"Representative Lehman, Richard H.",richard-lehman/L000225,Richard H. Lehman,1948,Democratic,not current,"1,636"
"Representative Lehman, William",william-lehman/L000226,William Lehman,1913,Democratic,not current,"4,050"
"Representative Leland, Mickey",george-leland/L000237,Mickey Leland,1944,Democratic,not current,"2,649"
"Senator LeMieux, George S.",george-lemieux/L000572,George S. LeMieux,1969,Republican,not current,186
"Representative Lent, Norman F.",norman-lent/L000243,Norman F. Lent,1931,Republican,not current,"3,133"
"Representative Lesko, Debbie",debbie-lesko/L000589,Debbie Lesko,1958,Republican,current,466
"Representative Levin, Andy",andy-levin/L000592,Andy Levin,1960,Democratic,current,540
"Senator Levin, Carl",carl-levin/L000261,Carl Levin,1934,Democratic,not current,"8,079"
"Representative Levin, Mike",mike-levin/L000593,Mike Levin,1978,Democratic,current,446
"Representative Levin, Sander M.",sander-levin/L000263,Sander M. Levin,1931,Democratic,not current,"5,706"
"Representative Levine, Mel",mel-levine/L000264,Mel Levine,1943,Democratic,not current,"2,574"
"Representative Levitas, Elliott H.",elliott-levitas/L000265,Elliott H. Levitas,1930,Democratic,not current,747
"Representative Levy, David A.",david-levy/L000267,David A. Levy,1953,Republican,not current,448
"Representative Lewis, Jason",jason-lewis/L000587,Jason Lewis,1955,Republican,not current,133
"Representative Lewis, Jerry",jerry-lewis/L000274,Jerry Lewis,1934,Republican,not current,"3,072"
"Representative Lewis, John",john-lewis/L000287,John Lewis,1940,Democratic,not current,"8,556"
"Representative Lewis, Ron",ron-lewis/L000293,Ron Lewis,1946,Republican,not current,"1,714"
"Representative Lewis, Thomas F.",thomas-lewis/L000295,Thomas F. Lewis,1924,Republican,not current,"2,255"
"Senator Lieberman, Joseph I.",joseph-lieberman/L000304,Joseph I. Lieberman,1942,History,not current,"5,826"
"Representative Lieu, Ted",ted-lieu/L000582,Ted Lieu,1969,Democratic,current,"2,048"
"Representative Lightfoot, Jim",jim-lightfoot/L000305,Jim Lightfoot,1938,Republican,not current,"1,621"
"Senator Lincoln, Blanche L.",blanche-lincoln/L000035,Blanche L. Lincoln,1960,Democratic,not current,"2,752"
"Representative Linder, John",john-linder/L000321,John Linder,1942,Republican,not current,"1,626"
"Representative Lipinski, Daniel",daniel-lipinski/L000563,Daniel Lipinski,1966,Democratic,current,"2,844"
"Representative Lipinski, William O.",william-lipinski/L000342,William O. Lipinski,1937,Democratic,not current,"5,192"
"Representative Litton, Jerry",jerry-litton/L000360,Jerry Litton,1937,Democratic,not current,371
"Representative Livingston, Bob",robert-livingston/L000371,Bob Livingston,1943,Republican,not current,"2,714"
"Representative Lloyd, James F.",jim-lloyd/L000379,James F. Lloyd,1922,Democratic,not current,592
"Representative Lloyd, Marilyn",marilyn-lloyd/L000381,Marilyn Lloyd,1929,Democratic,not current,"3,517"
"Representative LoBiondo, Frank A.",frank-lobiondo/L000554,Frank A. LoBiondo,1946,Republican,not current,"2,985"
"Representative Loebsack, David",david-loebsack/L000565,David Loebsack,1952,Democratic,current,"2,864"
"Representative Loeffler, Tom",thomas-loeffler/L000396,Tom Loeffler,1946,Republican,not current,660
"Representative Lofgren, Zoe",zoe-lofgren/L000397,Zoe Lofgren,1947,Democratic,current,"7,285"
"Representative Long, Billy",billy-long/L000576,Billy Long,1955,Republican,current,"1,298"
"Representative Long, Cathy (Mrs. Gillis)",cathy-long/L000411,Cathy (Mrs. Gillis) Long,1924,Democratic,not current,136
"Representative Long, Clarence D.",clarence-long/L000413,Clarence D. Long,1908,Democratic,not current,"1,467"
"Representative Long, Gillis W.",gillis-long/L000417,Gillis W. Long,1923,Democratic,not current,701
"Representative Long, Jill L.",jill-long/L000420,Jill L. Long,1952,Democratic,not current,804
"Senator Long, Russell B.",russell-long/L000428,Russell B. Long,1918,Democratic,not current,709
"Representative Longley, James B., Jr.",james-longley/L000431,James B. Longley Jr.,1951,Republican,not current,116
"Senator Lott, Trent",chester-lott/L000447,Trent Lott,1941,Republican,not current,"5,052"
"Representative Loudermilk, Barry",barry-loudermilk/L000583,Barry Loudermilk,1963,Republican,current,584
"Representative Love, Mia B.",mia-love/L000584,Mia B. Love,1975,Republican,not current,423
"Representative Lowenthal, Alan S.",alan-lowenthal/L000579,Alan S. Lowenthal,1941,Democratic,current,"2,885"
"Representative Lowery, Bill",bill-lowery/L000479,Bill Lowery,1947,Republican,not current,"1,508"
"Representative Lowey, Nita M.",nita-lowey/L000480,Nita M. Lowey,1937,Democratic,current,"6,143"
"Representative Lowry, Mike",michael-lowry/L000486,Mike Lowry,1939,Democratic,not current,"2,092"
"Representative Lucas, Frank D.",frank-lucas/L000491,Frank D. Lucas,1960,Republican,current,"1,880"
"Representative Lucas, Ken",ken-lucas/L000558,Ken Lucas,1933,Democratic,not current,668
"Representative Luetkemeyer, Blaine",blaine-luetkemeyer/L000569,Blaine Luetkemeyer,1952,Republican,current,"1,687"
"Senator Lugar, Richard G.",richard-lugar/L000504,Richard G. Lugar,1932,Republican,not current,"5,119"
"Representative Lujan Grisham, Michelle",michelle-lujan-grisham/L000580,Michelle Lujan Grisham,1959,Democratic,not current,"1,199"
"Representative Lujan, Ben Ray",ben-lujan/L000570,Ben Ray Lujan,1972,Democratic,current,"2,004"
"Representative Lujan, Manuel, Jr.",manuel-lujan/L000506,Manuel Lujan Jr.,1928,Republican,not current,"1,594"
"Representative Luken, Charles",charles-luken/L000507,Charles Luken,1951,Democratic,not current,184
"Representative Luken, Thomas A.",thomas-luken/L000508,Thomas A. Luken,1925,Democratic,not current,"1,916"
"Representative Lukens, Donald E.",donald-lukens/L000509,Donald E. Lukens,1931,Republican,not current,732
"Representative Lummis, Cynthia M.",cynthia-lummis/L000571,Cynthia M. Lummis,1954,Republican,not current,"1,125"
"Representative Lundine, Stanley N.",stanley-lundine/L000516,Stanley N. Lundine,1939,Democratic,not current,"1,297"
"Representative Lungren, Daniel E.",daniel-lungren/L000517,Daniel E. Lungren,1946,Republican,not current,"2,252"
"Representative Luria, Elaine G.",elaine-luria/L000591,Elaine G. Luria,1975,Democratic,current,604
"Representative Luther, Bill",william-luther/L000521,Bill Luther,1945,Democratic,not current,829
"Representative Lynch, Stephen F.",stephen-lynch/L000562,Stephen F. Lynch,1955,Democratic,current,"3,148"
"Representative MacArthur, Thomas",thomas-macarthur/M001193,Thomas MacArthur,1960,Republican,not current,559
"Representative Macdonald, Torbert H.",torbert-macdonald/M000005,Torbert H. Macdonald,1917,Democratic,not current,155
"Representative Machtley, Ronald K.",ronald-machtley/M000015,Ronald K. Machtley,1948,Republican,not current,"1,650"
"Representative Mack, Connie",connie-mack/M001155,Connie Mack,1967,Republican,not current,750
"Senator Mack, Connie, III",connie-mack/M000019,Connie Mack III,1940,Republican,not current,"2,550"
"Representative MacKay, Buddy",kenneth-mackay/M000023,Buddy MacKay,1933,Democratic,not current,785
"Representative Madden, Ray J.",ray-madden/M000039,Ray J. Madden,1892,Democratic,not current,183
"Representative Madigan, Edward R.",edward-madigan/M000041,Edward R. Madigan,1936,Republican,not current,"2,180"
"Representative Maffei, Daniel B.",daniel-maffei/M001171,Daniel B. Maffei,1968,Democratic,not current,603
"Senator Magnuson, Warren G.",warren-magnuson/M000053,Warren G. Magnuson,1905,Democratic,not current,846
"Representative Maguire, Andrew",andrew-maguire/M000058,Andrew Maguire,1939,Democratic,not current,935
"Representative Mahon, George H.",george-mahon/M000065,George H. Mahon,1900,Democratic,not current,162
"Representative Mahoney, Tim",tim-mahoney/M001164,Tim Mahoney,1956,Democratic,not current,243
"Representative Mailliard, William S.",william-mailliard/M000070,William S. Mailliard,1917,Republican,not current,102
"Representative Majette, Denise L.",denise-majette/M001145,Denise L. Majette,1955,Democratic,not current,214
"Representative Malinowski, Tom",tom-malinowski/M001203,Tom Malinowski,1965,Democratic,current,545
"Representative Mallary, Richard W.",richard-mallary/M000078,Richard W. Mallary,1929,Republican,not current,67
"Representative Maloney, Carolyn B.",carolyn-maloney/M000087,Carolyn B. Maloney,1946,Democratic,current,"7,928"
"Representative Maloney, James H.",james-maloney/M000090,James H. Maloney,1948,Democratic,not current,944
"Representative Maloney, Sean Patrick",sean-maloney/M001185,Sean Patrick Maloney,1966,Democratic,current,"1,780"
"Senator Manchin, Joe, III",joe-manchin/M001183,Joe Manchin III,1947,Democratic,current,"1,715"
"Representative Mann, David",david-mann/M000100,David Mann,1939,Democratic,not current,179
"Representative Mann, James R.",james-mann/M000105,James R. Mann,1920,Democratic,not current,465
"Senator Mansfield, Mike",michael-mansfield/M000113,Mike Mansfield,1903,Democratic,not current,491
"Representative Manton, Thomas J.",thomas-manton/M000117,Thomas J. Manton,1932,Democratic,not current,"2,793"
"Representative Manzullo, Donald A.",donald-manzullo/M001138,Donald A. Manzullo,1944,Republican,not current,"2,864"
"Representative Maraziti, Joseph J.",joseph-maraziti/M000121,Joseph J. Maraziti,1912,Republican,not current,156
"Representative Marchant, Kenny",kenny-marchant/M001158,Kenny Marchant,1951,Republican,current,"2,292"
"Representative Margolies-Mezvinsky, Marjorie",marjorie-margolies-mezvinsky/M000129,Marjorie Margolies-Mezvinsky,1942,Democratic,not current,276
"Representative Marino, Tom",tom-marino/M001179,Tom Marino,1952,Republican,not current,"1,031"
"Representative Markey, Betsy",betsy-markey/M001172,Betsy Markey,1956,Democratic,not current,346
"Senator Markey, Edward J.",edward-markey/M000133,Edward J. Markey,1946,Democratic,current,"9,612"
"Representative Marks, Marc L.",marc-marks/M000136,Marc L. Marks,1927,Republican,not current,406
"Representative Marlenee, Ron",ron-marlenee/M000139,Ron Marlenee,1935,Republican,not current,"1,373"
"Representative Marriott, David Daniel",dan-marriott/M000143,David Daniel Marriott,1939,Republican,not current,936
"Representative Marshall, Jim",jim-marshall/M001146,Jim Marshall,1948,Democratic,not current,"1,180"
"Representative Marshall, Roger W.",roger-marshall/M001198,Roger W. Marshall,1960,Republican,current,673
"Representative Martin, David O'B.",david-martin/M000174,David O'B. Martin,1944,Republican,not current,"1,561"
"Representative Martin, David T.",david-martin/M000175,David T. Martin,1907,Republican,not current,15
"Representative Martin, James G.",james-martin/M000183,James G. Martin,1935,Republican,not current,"1,070"
"Representative Martin, Lynn M.",lynn-martin/M000195,Lynn M. Martin,1939,Republican,not current,"1,666"
"Representative Martinez, Matthew G.",matthew-martinez/M000206,Matthew G. Martinez,1929,History,not current,"5,589"
"Senator Martinez, Mel",mel-martinez/M001162,Mel Martinez,1946,Republican,not current,887
"Representative Martini, William J.",bill-martini/M000207,William J. Martini,1947,Republican,not current,175
"Representative Mascara, Frank",frank-mascara/M000212,Frank Mascara,1930,Democratic,not current,885
"Representative Massa, Eric J. J.",eric-massa/M001173,Eric J. J. Massa,1959,Democratic,not current,518
"Representative Massie, Thomas",thomas-massie/M001184,Thomas Massie,1971,Republican,current,614
"Representative Mast, Brian J.",brian-mast/M001199,Brian J. Mast,1980,Republican,current,598
"Representative Matheson, Jim",jim-matheson/M001142,Jim Matheson,1960,Democratic,not current,"1,580"
"Senator Mathews, Harlan",harlan-mathews/M000236,Harlan Mathews,1927,Democratic,not current,188
"Senator Mathias, Charles McC., Jr.",charles-mathias/M000241,Charles McC. Mathias Jr.,1922,Republican,not current,"2,218"
"Representative Mathias, Robert B. (Bob)",robert-mathias/M000242,Robert B. (Bob) Mathias,1930,Republican,not current,77
"Representative Mathis, Dawson",dawson-mathis/M000244,Dawson Mathis,1940,Democratic,not current,813
"Representative Matsui, Doris O.",doris-matsui/M001163,Doris O. Matsui,1944,Democratic,current,"3,465"
"Representative Matsui, Robert T.",robert-matsui/M000249,Robert T. Matsui,1941,Democratic,not current,"5,610"
"Senator Matsunaga, Spark M.",spark-matsunaga/M000250,Spark M. Matsunaga,1916,Democratic,not current,"3,655"
"Senator Mattingly, Mack",mack-mattingly/M000257,Mack Mattingly,1931,Republican,not current,898
"Representative Mattox, James A.",jim-mattox/M000260,James A. Mattox,1943,Democratic,not current,314
"Representative Mavroules, Nicholas",nicholas-mavroules/M000264,Nicholas Mavroules,1929,Democratic,not current,"2,453"
"Representative Mayne, Wiley",wiley-mayne/M000286,Wiley Mayne,1917,Republican,not current,152
"Representative Mazzoli, Romano L.",romano-mazzoli/M000291,Romano L. Mazzoli,1932,Democratic,not current,"2,833"
"Representative McAdams, Ben",ben-mcadams/M001209,Ben McAdams,1974,Democratic,current,212
"Representative McAllister, Vance M.",vance-mcallister/M001192,Vance M. McAllister,1974,Republican,not current,72
"Representative McBath, Lucy",lucy-mcbath/M001208,Lucy McBath,1960,Democratic,current,323
"Senator McCain, John",john-mccain/M000303,John McCain,1936,Republican,not current,"7,298"
"Representative McCandless, Alfred A. (Al)",alfred-mccandless/M000306,Alfred A. (Al) McCandless,1927,Republican,not current,872
"Representative McCarthy, Carolyn",carolyn-mccarthy/M000309,Carolyn McCarthy,1944,Democratic,not current,"3,718"
"Representative McCarthy, Karen",karen-mccarthy/M000316,Karen McCarthy,1947,Democratic,not current,"1,189"
"Representative McCarthy, Kevin",kevin-mccarthy/M001165,Kevin McCarthy,1965,Republican,current,646
"Senator McCaskill, Claire",claire-mccaskill/M001170,Claire McCaskill,1953,Democratic,not current,"1,875"
"Representative McCaul, Michael T.",michael-mccaul/M001157,Michael T. McCaul,1962,Republican,current,"2,769"
"Senator McClellan, John L.",john-mcclellan/M000332,John L. McClellan,1896,Democratic,not current,206
"Representative McClintock, Tom",tom-mcclintock/M001177,Tom McClintock,1956,Republican,current,"1,482"
"Representative McClory, Robert",robert-mcclory/M000340,Robert McClory,1908,Republican,not current,803
"Representative McCloskey, Frank",frank-mccloskey/M000342,Frank McCloskey,1939,Democratic,not current,"2,042"
"Representative McCloskey, Paul N., Jr.",paul-mccloskey/M000343,Paul N. McCloskey Jr.,1927,Republican,not current,"1,081"
"Senator McClure, James A.",james-mcclure/M000346,James A. McClure,1924,Republican,not current,"2,513"
"Representative McCollister, John Y.",john-mccollister/M000349,John Y. McCollister,1921,Republican,not current,233
"Representative McCollum, Betty",betty-mccollum/M001143,Betty McCollum,1954,Democratic,current,"5,606"
"Representative McCollum, Bill",bill-mccollum/M000350,Bill McCollum,1944,Republican,not current,"3,109"
"Senator McConnell, Mitch",mitch-mcconnell/M000355,Mitch McConnell,1942,Republican,current,"3,826"
"Representative McCormack, Mike",mike-mccormack/M000365,Mike McCormack,1921,Democratic,not current,773
"Representative McCotter, Thaddeus G.",thaddeus-mccotter/M001147,Thaddeus G. McCotter,1965,Republican,not current,"2,860"
"Representative McCrery, Jim",jim-mccrery/M000388,Jim McCrery,1949,Republican,not current,"1,746"
"Representative McCurdy, Dave",dave-mccurdy/M000398,Dave McCurdy,1950,Democratic,not current,"1,040"
"Representative McDade, Joseph M.",joseph-mcdade/M000399,Joseph M. McDade,1931,Republican,not current,"2,903"
"Representative McDermott, Jim",jim-mcdermott/M000404,Jim McDermott,1936,Democratic,not current,"7,552"
"Representative McDonald, Lawrence P.",larry-mcdonald/M000413,Lawrence P. McDonald,1935,Democratic,not current,"1,023"
"Representative McEachin, A. Donald",a-mceachin/M001200,A. Donald McEachin,1961,Democratic,current,701
"Representative McEwen, Bob",bob-mcewen/M000432,Bob McEwen,1950,Republican,not current,"2,475"
"Representative McEwen, Robert C.",robert-mcewen/M000433,Robert C. McEwen,1920,Republican,not current,334
"Representative McFall, John J.",john-mcfall/M000436,John J. McFall,1918,Democratic,not current,369
"Senator McGee, Gale W.",gale-mcgee/M000445,Gale W. McGee,1915,Democratic,not current,507
"Senator McGovern, George",george-mcgovern/M000452,George McGovern,1922,Democratic,not current,"1,229"
"Representative McGovern, James P.",james-mcgovern/M000312,James P. McGovern,1959,Democratic,current,"9,980"
"Representative McGrath, Raymond J.",raymond-mcgrath/M000458,Raymond J. McGrath,1942,Republican,not current,"2,517"
"Representative McHale, Paul",paul-mchale/M000466,Paul McHale,1950,Democratic,not current,545
"Representative McHenry, Patrick T.",patrick-mchenry/M001156,Patrick T. McHenry,1975,Republican,current,"1,421"
"Representative McHugh, John M.",john-mchugh/M000472,John M. McHugh,1948,Republican,not current,"2,994"
"Representative McHugh, Matthew F.",matthew-mchugh/M000473,Matthew F. McHugh,1938,Democratic,not current,"2,243"
"Representative McInnis, Scott",scott-mcinnis/M000477,Scott McInnis,1953,Republican,not current,"1,066"
"Representative McIntosh, David M.",david-mcintosh/M000481,David M. McIntosh,1958,Republican,not current,809
"Representative McIntyre, Mike",mike-mcintyre/M000485,Mike McIntyre,1956,Democratic,not current,"2,649"
"Senator McIntyre, Thomas J.",thomas-mcintyre/M000486,Thomas J. McIntyre,1915,Democratic,not current,571
"Representative McKay, K. Gunn",k-mckay/M000490,K. Gunn McKay,1925,Democratic,not current,288
"Representative McKeon, Howard P. ""Buck""",howard-mckeon/M000508,"Howard P. ""Buck"" McKeon",1938,Republican,not current,"2,200"
"Representative McKernan, John R., Jr.",john-mckernan/M000512,John R. McKernan Jr.,1948,Republican,not current,582
"Representative McKinley, David B.",david-mckinley/M001180,David B. McKinley,1947,Republican,current,"1,594"
"Representative McKinney, Cynthia A.",cynthia-mckinney/M000523,Cynthia A. McKinney,1955,Democratic,not current,"2,515"
"Representative McKinney, Stewart B.",stewart-mckinney/M000527,Stewart B. McKinney,1931,Republican,not current,"2,105"
"Representative McMahon, Michael E.",michael-mcmahon/M001174,Michael E. McMahon,1957,Democratic,not current,410
"Representative McMillan, J. Alex",j-mcmillan/M000566,J. Alex McMillan,1932,Republican,not current,811
"Representative McMillen, Thomas",thomas-mcmillen/M000573,Thomas McMillen,1952,Democratic,not current,"1,226"
"Representative McMorris Rodgers, Cathy",cathy-rodgers/M001159,Cathy McMorris Rodgers,1969,Republican,current,"2,132"
"Representative McNerney, Jerry",jerry-mcnerney/M001166,Jerry McNerney,1951,Democratic,current,"2,649"
"Representative McNulty, James F., Jr.",james-mcnulty/M000589,James F. McNulty Jr.,1925,Democratic,not current,579
"Representative McNulty, Michael R.",michael-mcnulty/M000590,Michael R. McNulty,1947,Democratic,not current,"4,903"
"Senator McSally, Martha",martha-mcsally/M001197,Martha McSally,1966,Republican,not current,986
"Representative McSpadden, Clem Rogers",clem-mcspadden/M000603,Clem Rogers McSpadden,1925,Democratic,not current,128
"Representative Meadows, Mark",mark-meadows/M001187,Mark Meadows,1959,Republican,not current,"1,488"
"Representative Meeds, Lloyd",lloyd-meeds/M000626,Lloyd Meeds,1927,Democratic,not current,603
"Representative Meehan, Martin T.",martin-meehan/M000627,Martin T. Meehan,1956,Democratic,not current,"2,464"
"Representative Meehan, Patrick",patrick-meehan/M001181,Patrick Meehan,1955,Republican,not current,"1,018"
"Representative Meek, Carrie P.",carrie-meek/M000628,Carrie P. Meek,1926,Democratic,not current,"1,828"
"Representative Meek, Kendrick B.",kendrick-meek/M001148,Kendrick B. Meek,1966,Democratic,not current,"1,310"
"Representative Meeks, Gregory W.",gregory-meeks/M001137,Gregory W. Meeks,1953,Democratic,current,"5,048"
"Representative Melancon, Charlie",charlie-melancon/M001161,Charlie Melancon,1947,Democratic,not current,759
"Senator Melcher, John",john-melcher/M000635,John Melcher,1924,Democratic,not current,"2,568"
"Senator Menendez, Robert",robert-menendez/M000639,Robert Menendez,1954,Democratic,current,"6,613"
"Representative Meng, Grace",grace-meng/M001188,Grace Meng,1975,Democratic,current,"2,096"
"Senator Merkley, Jeff",jeff-merkley/M001176,Jeff Merkley,1956,Democratic,current,"3,612"
"Representative Messer, Luke",luke-messer/M001189,Luke Messer,1969,Republican,not current,922
"Representative Metcalf, Jack",jack-metcalf/M000669,Jack Metcalf,1927,Republican,not current,799
"Senator Metcalf, Lee",lee-metcalf/M000671,Lee Metcalf,1911,Democratic,not current,562
"Representative Metcalfe, Ralph H.",ralph-metcalfe/M000675,Ralph H. Metcalfe,1910,Democratic,not current,631
"Senator Metzenbaum, Howard M.",howard-metzenbaum/M000678,Howard M. Metzenbaum,1917,Democratic,not current,"5,939"
"Representative Meuser, Daniel",daniel-meuser/M001204,Daniel Meuser,1964,Republican,current,191
"Representative Meyers, Jan",jan-meyers/M000684,Jan Meyers,1928,Republican,not current,"2,153"
"Representative Meyner, Helen S.",helen-meyner/M000685,Helen S. Meyner,1929,Democratic,not current,614
"Representative Mezvinsky, Edward",edward-mezvinsky/M000686,Edward Mezvinsky,1937,Democratic,not current,213
"Representative Mfume, Kweisi",kweisi-mfume/M000687,Kweisi Mfume,1948,Democratic,current,"1,937"
"Representative Mica, Daniel Andrew",daniel-mica/M000688,Daniel Andrew Mica,1944,Democratic,not current,777
"Representative Mica, John L.",john-mica/M000689,John L. Mica,1943,Republican,not current,"1,884"
"Representative Michaud, Michael H.",michael-michaud/M001149,Michael H. Michaud,1955,Democratic,not current,"3,107"
"Representative Michel, Robert H.",robert-michel/M000692,Robert H. Michel,1923,Republican,not current,"1,708"
"Senator Mikulski, Barbara A.",barbara-mikulski/M000702,Barbara A. Mikulski,1936,Democratic,not current,"8,611"
"Representative Mikva, Abner J.",abner-mikva/M000703,Abner J. Mikva,1926,Democratic,not current,773
"Representative Milford, Dale",dale-milford/M000708,Dale Milford,1926,Democratic,not current,335
"Representative Millender-McDonald, Juanita",juanita-millender-mcdonald/M000714,Juanita Millender-McDonald,1938,Democratic,not current,"2,387"
"Representative Miller, Brad",brad-miller/M001154,Brad Miller,1953,Democratic,not current,"1,449"
"Representative Miller, Candice S.",candice-miller/M001150,Candice S. Miller,1954,Republican,not current,"1,690"
"Representative Miller, Carol D.",carol-miller/M001205,Carol D. Miller,1950,Republican,current,196
"Representative Miller, Clarence E.",clarence-miller/M000718,Clarence E. Miller,1917,Republican,not current,"1,510"
"Representative Miller, Dan",dan-miller/M000720,Dan Miller,1942,Republican,not current,832
"Representative Miller, Gary G.",gary-miller/M001139,Gary G. Miller,1948,Republican,not current,"1,775"
"Representative Miller, George",george-miller/M000725,George Miller,1945,Democratic,not current,"7,455"
"Representative Miller, Jeff",jeff-miller/M001144,Jeff Miller,1959,Republican,not current,"2,931"
"Representative Miller, John R.",john-miller/M000736,John R. Miller,1938,Republican,not current,"1,689"
"Senator Miller, Zell",zell-miller/M001141,Zell Miller,1932,Democratic,not current,761
"Representative Mills, Wilbur D.",wilbur-mills/M000778,Wilbur D. Mills,1909,Democratic,not current,147
"Representative Mills, William O.",william-mills/M000779,William O. Mills,1924,Republican,not current,21
"Representative Mineta, Norman Y.",norman-mineta/M000794,Norman Y. Mineta,1931,Democratic,not current,"4,751"
"Representative Minge, David",david-minge/M000795,David Minge,1942,Democratic,not current,"1,019"
"Representative Minish, Joseph G.",joseph-minish/M000796,Joseph G. Minish,1916,Democratic,not current,"1,173"
"Representative Mink, Patsy T.",patsy-mink/M000797,Patsy T. Mink,1927,Democratic,not current,"3,204"
"Representative Minnick, Walter",walter-minnick/M001175,Walter Minnick,1942,Democratic,not current,327
"Representative Minshall, William E.",william-minshall/M000799,William E. Minshall,1911,Republican,not current,91
"Representative Mitchell, Donald J.",donald-mitchell/M000808,Donald J. Mitchell,1923,Republican,not current,"1,245"
"Senator Mitchell, George J.",george-mitchell/M000811,George J. Mitchell,1933,Democratic,not current,"2,949"
"Representative Mitchell, Harry E.",harry-mitchell/M001167,Harry E. Mitchell,1940,Democratic,not current,439
"Representative Mitchell, Parren J.",parren-mitchell/M000826,Parren J. Mitchell,1922,Democratic,not current,"4,104"
"Representative Mitchell, Paul",paul-mitchell/M001201,Paul Mitchell,1956,Republican,current,470
"Representative Mizell, Wilmer",wilmer-mizell/M000833,Wilmer Mizell,1930,Republican,not current,86
"Representative Moakley, John Joseph",joe-moakley/M000834,John Joseph Moakley,1927,Democratic,not current,"5,204"
"Representative Moffett, Toby",anthony-moffett/M000839,Toby Moffett,1944,Democratic,not current,944
"Representative Molinari, Guy",guy-molinari/M000842,Guy Molinari,1928,Republican,not current,835
"Representative Molinari, Susan",susan-molinari/M000843,Susan Molinari,1958,Republican,not current,"1,217"
"Representative Mollohan, Alan B.",alan-mollohan/M000844,Alan B. Mollohan,1943,Democratic,not current,"2,200"
