state,club,city,club link
Kentucky,Kentucky Paleontological Society,Lexington,http://www.uky.edu/OtherOrgs/KPS/
Louisiana,Ark-La-Tex Gem & Mineral Society,Shreveport,http://larockclub.com/
Louisiana,Baton Rouge Gem & Mineral Society,Baton Rouge,http://www.brgemandmineral.org/
Louisiana,DeRidder Gem & Mineral Society,Leesville,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/
Maine,Kennebec Rocks and Minerals Club,Winthrop,http://kennebec-rocksandminerals.com/
Maine,Maine Mineralogical & Geological Society,Portland,http://mainemineralclub.org/
Maine,Oxford County Mineral and Gem Association,South Paris,http://ocmgassoc.blogspot.com/
Maine,Penobscot Mineral and Lapidary Club,Milford,http://penobscotminerallapidaryclub.com/index.html
Maryland,American Fossil Federation,Bowie,http://americanfossilfederation.org/Home.html
Maryland,Baltimore Mineral Society,Baltimore,http://www.baltimoremineralsociety.org/
Maryland,Calvert Marine Museum Fossil Club,Solomons,http://www.calvertmarinemuseum.com/209/Fossil-Club
Maryland,Central Maryland Rock and Mineral Collectors Exchange,Elkridge,https://www.meetup.com/rockhounds/
Maryland,Chesapeake Gem & Mineral Society,Baltimore,http://www.chesapeakegemandmineral.org/
Maryland,"Gem Cutters Guild of Baltimore, Inc.",Baltimore,http://www.gemcuttersguild.com/
Maryland,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",Rockville,http://www.glmsmc.com/
Maryland,Maryland Geological Society,Bowie,http://www.ecphora.net/mgs/
Maryland,Micromineralogists of the National Capital Area,"Washington, DC",http://dcmicrominerals.org/
Maryland,Patuxent Lapidary Guild,Annapolis,http://www.patuxentlapidary.org/
Maryland,Southern Maryland Rock and Mineral Club,Clinton,http://www.smrmc.org/
Maryland,The Mineralogical Society of the District of Columbia,"Washington, DC",http://www.mineralogicalsocietyofdc.org/
Massachusetts,"Boston Mineral Club, Inc.",Boston,http://www.bostonmineralclub.org/
Massachusetts,Connecticut Valley Mineral Club,Springfield,http://www.cvmineralclub.org/
Massachusetts,Micromounters of New England,Chemlsford,http://micromountersofnewengland.org/
Massachusetts,Nashoba Valley Mineralogical Society,Westford,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society
Massachusetts,North Shore Rock & Mineral Club of Massachusetts,South Hamilton,http://www.northshorerock.org/
Massachusetts,Northern Berkshire Mineral Club,North Adams,http://nbmclub.webs.com/
Massachusetts,Southeastern Massachusetts Mineral Club,Bridgewater,http://semmc.com/
Massachusetts,Worcester Mineral Club,Worcester,http://worcestermineralclub.org/
Michigan,"Big Rapids Rock, Gem & Mineral Club",Big Rapids,https://sites.google.com/site/bigrapidsrockgemmineralclub/
Michigan,Central Michigan Lapidary and Mineral Society,Lansing,http://michrocks.org/
Michigan,Copper Country Rock and Mineral Club,Dollar Bay,http://www.ccrmc.info/
Michigan,Flint Rock and Gem Club,Flint,http://www.flintrockandgem.org/
Michigan,Grand Traverse Area Rock and Mineral Club,Traverse City,http://tcrockhounds.com/
Michigan,Indian Mounds Rock & Mineral Club,Wyoming,http://www.indianmoundsrockclub.com/
Michigan,Ishpeming Rock and Mineral Club,Ishpeming,http://www.ishpemingrocks.org/
Michigan,Kalamazoo Geological & Mineral Society,Kalamazoo,http://kalamazoorockclub.org/
Michigan,Livingston Gem & Mineral Society,Howell,http://www.livingstongemandmineralsociety.com/
Michigan,Michigan Gem & Mineral Society,Michigan Center,http://mgmsrockclub.com/
Michigan,Michigan Mineralogical Society,Bloomfield Hills,https://www.michmin.org/
Michigan,Mid-Michigan Rock Club,Midland,http://www.midmichrockclub.com/?Page=1
Michigan,Midwest Faceters' Guild,Grand Rapids,http://www.midwestfaceters.org/
Michigan,Midwest Mineralological & Lapidary Society,Taylor,http://www.mmls.us/
Michigan,Mikenauk Rock and Gem Club,Roscommon,http://mikenaukclub.weebly.com/
Michigan,Mount Clemens Gem & Lapidary Society,Mt. Clemens,http://mcgls.org/
Michigan,Oakland County Earth Science Club,Waterford,http://www.ocesc.com/
Michigan,Roamin Club,Livonia,https://roaminrockclub.weebly.com/
Michigan,StateLine Gem & Mineral Society,Morenci,http://statelinegms.com/
Michigan,"Tulip City Gem & Mineral Club, Inc.",Holland,http://www.tulipcity.org/
Minnesota,Anoka County Gem & Mineral Club,Minneapolis,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html
Minnesota,"Cuyuna Rock, Gem and Mineral Society",Brainerd,http://cuyunarockclub.org/wp/
Minnesota,Minnesota Mineral Club,Falcon Heights,http://minnesotamineralclub.org/
Minnesota,Minnesota Valley Gem & Mineral Club,Mankato,http://www.mnvalleygemandmineralclub.com/
Minnesota,St Croix Rockhounds,Stillwater,http://stcroixrockhounds.org/
Mississippi,"Harrison County Gem & Mineral Society, Inc.",Gulfport,http://www.gulfportgems.org/
Mississippi,Mississippi Gem & Mineral Society,Jackson,http://missgems.org/
Mississippi,Mississippi Geological Society,Jackson,http://www.missgeo.com/
Mississippi,Mississippi Gulf Coast Gem and Mineral Society,Ocean Springs,http://www.mgcgms.org/
Mississippi,North Mississippi Gem and Mineral Society,Tupelo,http://www.nmgms.org/
Missouri,Central Missouri Rock and Lapidary Club,Columbia,http://www.cmrlc.org/
Missouri,Independence Gem & Mineral Society,Independence,http://www.igams.co/
Missouri,Missouri Valley Gem & Mineral Society,St. Joseph,http://www.movalleyrockclub.com/
Missouri,"Mozarkite Society of Lincoln, Inc.",Lincoln,http://www.mozarkite.com/
Missouri,Ozark Mountain Gem & Mineral Society,Springfield,https://www.facebook.com/omgms.57
Missouri,Rock Hobby Club of Greater Saint Louis,St. Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx
Missouri,Rockwood Gem & Mineral Society,St. Louis,http://rockwood.stlearthsci.org/
Missouri,St. Louis Mineral & Gem Society,St. Louis,http://www.stlrockclub.com/
Missouri,"Show Me Gems & Minerals Club, Inc.",St. Peters,http://showme.stlearthsci.org/
Missouri,Show-Me Rockhounds Kansas City,Kansas City,https://showmerockhounds.com/
Montana,"Billings Gem & Mineral Club, Inc.",Billings,http://www.billingsgemclub.com/
Montana,Bitterroot Gem & Mineral Society,Corvallis,http://www.ravalligemandmineralclub.org/
Montana,Bozeman Gem and Mineral Club,Bozeman,http://bozemangemandmineralclub.com/
Montana,Hellgate Mineral Society,Missoula,https://www.facebook.com/HellgateMineralSociety/
Montana,Kalispell Rockhound Club,Kalispell,http://www.kalispellrockhounds.org/
Nebraska,"Lincoln Gem & Mineral Club, Inc.",Lincoln,https://www.lincolngemmineralclub.org/
Nevada,Comstock Gold Prospectors,Reno,http://cgpgold.org/
Nevada,Great Basin Gem & Mineral Club,Carson City,http://greatbasingemandmineralclub.rocks/
Nevada,High Desert Rockers,Carson City,https://highdesertrockers.wordpress.com/
Nevada,Nye Gold Seekers,Pahrump,http://nyegoldseekers.webs.com/
Nevada,Reno Gem and Mineral Society,Reno,http://www.renorockhounds.com/
Nevada,Southern Nevada Gem and Mineral Society,Las Vegas,http://www.snvgms.org/
New Hampshire,Capital Mineral Club,Concord,http://www.capitalmineralclub.org/
New Hampshire,Keene Mineral Club,Keene,https://sites.google.com/site/keenemineralclub/home
New Hampshire,Saco Valley Gem and Mineral Club,Conway,http://www.sacovalleygemandmineralclub.org/
New Hampshire,Southeastern New Hampshire Mineral Club,Dover,https://www.senhmc.org/
New Jersey,Cape Atlantic Rockhounds Inc.,Cologne,http://www.capeatlanticrockhounds.com/
New Jersey,Delaware Valley Earth Science Society,Woodbury,http://www.dvess.org/
New Jersey,Friends of Mineralogy - New Jersey Chapter,Marlboro Township,https://fomnj.wordpress.com/
New Jersey,Morris Museum Mineralogical Society,Morristown,http://morrismuseum.org/mineral-society/
New Jersey,"New Jersey Mineralogical Society, Inc",Mountainside,http://www.njmin.org/
New Jersey,"North Jersey Mineralogical Society, Inc.",Paterson,http://www.nojms.webs.com/
New Mexico,Albuquerque Gem & Mineral Club,Albuquerque,http://www.agmc.info/
New Mexico,Carlsbad Gem and Mineral Society,Carlsbad,http://www.carlsbadgms.org/
New Mexico,Deming Gem & Mineral Society,Deming,http://www.thedgms.com/
New Mexico,"Grant County Rolling Stones Gem & Mineral Society, Inc.",Silver City,http://rollingstonesgms.blogspot.com/
New Mexico,Los Alamos Geological Society,Los Alamos,http://pweb.netcom.com/~hoffmans/LAGS.html
New York,"Buffalo Geological Society, Inc.",Buffalo,http://www.bgsny.org/
New York,Capital District Mineral Club,Albany,http://capitaldistrictmineralclub.com/
New York,"Gem and Mineral Society of Syracuse, Inc.",Syracuse,http://www.gmss.us/
New York,Island Rockhounds Inc.,Bellmore,http://www.islandrockhounds.org/
New York,Long Island Mineral & Geology Society,Jamesport,http://www.limineralandgeology.com/LiMags/Home.html
New York,Mid-Hudson Valley Gem and Mineral Society Inc.,Poughkeepsie,http://mhvgms.org/index.html
New York,Nassau Mineral Club,Glen Cove,http://nassaumineralclub.org/
New York,New York Mineralogical Club,NYC,http://www.newyorkmineralogicalclub.org/
New York,New York Paleontological Society,NYC,http://www.nyps.org/index.htm
New York,Orange County Mineral Society,Middletown,http://www.orangecountymineralsocietynewyork.com/
New York,Rochester Academy of Science,Rochester,http://www.rasny.org/
New York,Rochester Lapiday Society,Rochester,http://www.rochesterlapidary.org/
New York,St. Lawrence County Rock & Mineral Club,Canton,http://stlawrencecountymineralclub.org/
New York,Suffolk Gem & Mineral Club,Bay Shore,http://www.suffolkgem.com/
New York,Wayne County Gem and Mineral Club,Newark,http://www.wcgmc.org/
North Carolina,Cape Fear Mineral & Gem Society,Fayetteville,http://www.mercergarden.com/GemClub.html
North Carolina,Catawba Valley Gem & Mineral Club,Hickory,http://www.cvgmc.com/
North Carolina,Central North Carolina Mineral Club,Chapel Hill,http://www.centralncmineralclub.org/
North Carolina,Charlotte Gem & Mineral Club,Charlotte,http://www.charlottegem.com/
North Carolina,Forsyth Gem and Mineral Club,Winston-Salem,http://www.forsythgemclub.com/fgmcmain.html
North Carolina,"Gaston Gem, Mineral and Faceters Club",Gastonia,http://gastongemclub.weebly.com/
North Carolina,Gem & Mineral Society of Franklin,Franklin,http://www.fgmm.org/
North Carolina,Greensboro Gem & Mineral Club,Greensboro,http://www.ggmc-rockhounds.com/
North Carolina,Henderson County Gem and Mineral Society,Hendersonville,http://hcgms.com/index.html
